Route,Total_Passengers_5yr,Services_2026_Forecast,Passengers_2026_Forecast,Passengers_CAGR_2021_24_Pct
CHENNAI-PT Dr.M.G.R.BS → TRICHY,22534,81,850,
CHENNAI-KILAMBAKKAM-KCBT → TRICHY,20610,979,13369,
CHENNAI-PT Dr.M.G.R.BS → MADURAI,18320,0,0,
CHENNAI-KILAMBAKKAM-KCBT → MADURAI,17796,433,10852,
CHENNAI-PT Dr.M.G.R.BS → KUMBAKONAM,17591,99,1938,-26.6
CHENNAI-PT Dr.M.G.R.BS → SALEM,15803,256,859,
KUMBAKONAM → CHENNAI-PT Dr.M.G.R.BS,15461,108,1322,-21.6
CHENNAI-KILAMBAKKAM-KCBT → SALEM,14580,628,9114,
MADURAI → CHENNAI-PT Dr.M.G.R.BS,13959,0,0,
TRICHY → CHENNAI-PT Dr.M.G.R.BS,13382,112,0,
BENGALURU → CHENNAI-PT Dr.M.G.R.BS,12931,153,4613,41.6
CHENNAI-KILAMBAKKAM-KCBT → KUMBAKONAM,12746,304,6977,
CHENNAI-PT Dr.M.G.R.BS → BENGALURU,12596,264,4200,31.3
TRICHY → CHENNAI-KILAMBAKKAM-KCBT,11267,707,9519,
MADURAI → CHENNAI-KILAMBAKKAM-KCBT,11237,416,9584,
SALEM → CHENNAI-PT Dr.M.G.R.BS,11017,191,0,
CHENNAI-PT Dr.M.G.R.BS → THANJAVUR,10356,0,0,
CHENNAI-PT Dr.M.G.R.BS → VELANKANNI,10081,112,2256,2.6
BENGALURU → SALEM,9751,597,6387,
CHENNAI-PT Dr.M.G.R.BS → TIRUNELVELI,9511,0,636,
CHENNAI-PT Dr.M.G.R.BS → COIMBATORE,9323,19,791,-49.6
COIMBATORE → CHENNAI-PT Dr.M.G.R.BS,9114,6,372,-49.9
THANJAVUR → CHENNAI-PT Dr.M.G.R.BS,8936,0,0,
TRICHY → BENGALURU,8850,57,1725,0.1
BENGALURU → TRICHY,8651,34,1670,-0.8
CHENNAI-KILAMBAKKAM-KCBT → THANJAVUR,8557,295,4927,
SALEM → CHENNAI-KILAMBAKKAM-KCBT,8511,484,7041,
VELANKANNI → CHENNAI-PT Dr.M.G.R.BS,8335,100,1721,1.8
BENGALURU → MADURAI,8275,92,2065,11.6
MADURAI → BENGALURU,7985,97,1734,5.9
CHENNAI-PT Dr.M.G.R.BS → NAGERCOIL VADACHERRY,7930,0,224,
TIRUNELVELI → CHENNAI-PT Dr.M.G.R.BS,7761,0,0,
KUMBAKONAM → CHENNAI-KILAMBAKKAM-KCBT,7637,263,6348,
SALEM → BENGALURU,7415,640,5747,227.7
CHENNAI-KILAMBAKKAM-KCBT → TIRUNELVELI,7049,214,4711,
CHENNAI-KILAMBAKKAM-KCBT → NAGERCOIL VADACHERRY,6419,169,4369,
CHENNAI-KILAMBAKKAM-KCBT → COIMBATORE,5936,182,3926,
CHENNAI-PT Dr.M.G.R.BS → TUTICORIN,5826,0,38,-41.9
CHENNAI-PT Dr.M.G.R.BS → NAGAPATTINAM,5780,77,1864,23.0
BENGALURU → COIMBATORE,5733,70,1598,16.3
